"SRO ID", "@when", "@notBefore", "@notAfter", "Date"
"SRO1", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO1a", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO2", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO2a", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO2b", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO2c", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO2d", "", "1557-07-19", "1557-07-09", "19 July 1557–9 July 1558."
"SRO2e", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4a", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4b", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4c", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4d", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4e", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4f", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4g", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4h", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO4i", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5a", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5b", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5c", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5d", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5e", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5f", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5g", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO5h", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6a", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6b", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6c", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6d", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6e", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6f", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO6g", "", "1557-07-19", "1558-07-09", "19 July 1557–9 July 1558."
"SRO7", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO7a", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO8", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO9", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO10", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO11", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO12", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO13", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO14", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO15", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO16", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO17", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO18", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO19", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO20", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO21", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO22", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO23", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO24", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO25", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO26", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO27", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO28", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO29", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO30", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO31", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO32", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO33", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO34", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO35", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO36", "", "1558-07-10", "1559-07-10", "10 July 1558–10 July 1559."
"SRO36a", "1559-08-06", "", "", "vjth of auguste 1559"
"SRO37", "1559-10-12", "", "", "xij of octobre 1559"
"SRO38", "1559-11-06", "", "", "vj of novembre 1559"
"SRO38a", "1559-11-06", "", "", "vjth of novembre 1559"
"SRO38b", "1559-11-06", "", "", "vjth of novembre 1559"
"SRO38c", "1559-11-06", "", "", "vjth of novembre 1559"
"SRO38d", "1559-11-06", "", "", "vjth of novembre 1559"
"SRO38e", "1559-12-04", "", "", "iiij of decembre 1559"
"SRO39", "1560-01-15", "", "", "xvth of Januarij 1560"
"SRO39a", "", "1560-01-15", "1560-01-24", "15 January 1560–24 January 1560."
"SRO39b", "1560-01-24", "", "", "xxiiij Daye of Januarij 1560"
"SRO39c", "1560-02-06", "", "", "vj of Februarij 1560"
"SRO39d", "1560-01-24", "", "", "xxiiij Daye of Januarij 1560"
"SRO40", "1560-02-06", "", "", "vj Day of Februarij 1560"
"SRO40a", "1560-03-04", "", "", "iiijth Daye of marche 1560"
"SRO40b", "", "1559-03-04", "1560-05-04", "03 March 1559–5 May 1560."
"SRO40c", "", "1559-03-04", "1560-05-04", "03 March 1559–5 May 1560."
"SRO40d", "", "1559-03-04", "1560-05-04", "03 March 1559–5 May 1560."
"SRO40e", "", "1559-03-04", "1560-05-04", "03 March 1559–5 May 1560."
"SRO40f", "", "1559-03-04", "1560-05-04", "03 March 1559–5 May 1560."
"SRO40g", "", "1559-03-04", "1560-05-04", "03 March 1559–14 May 1560."
"SRO41", "1560-05-14", "", "", "xiiij Daye of maye 1560"
"SRO41a", "", "1560-05-14", "1560-05-18", "15 May 1560–18 May 1560."
"SRO41b", "1560-05-18", "", "", "xviijth of maye 1560"
"SRO41c", "1560-05-30", "", "", "xxx of maye 1560"
"SRO41d", "1560-06-10", "", "", "x of June anno 1560"
"SRO41e", "1560-06-20", "", "", "xx of June / 1560"
"SRO42", "1560-06-25", "", "", "xxv of June anno 1560"
"SRO42a", "1560", "", "", "xxviijth Daye of July anno 1560"
"SRO42b", "", "1560-07-28", "1560-08-14", "28 July 1560–14 August 1560."
"SRO42c", "1560-08-14", "", "", "xiiij of auguste Anno 1560"
"SRO42d", "1560-08-14", "", "", "xiiij of auguste 1560"
"SRO42e", "1560-08-14", "", "", "xiiijth of auguste 1560"
"SRO42f", "1560-08-14", "", "", "xiiij of auguste 1560"
"SRO42g", "1560-08-19", "", "", "xix Daye of auguste 1560"
"SRO42h", "1560-08-30", "", "", "xxx daye of auguste 1560"
"SRO42i", "1560-08-30", "", "", "xxx Daye of auguste1560"
"SRO42j", "1560-08-31", "", "", "Laste Daye of auguste 1560"
"SRO42k", "1560-09-02", "", "", "ijde Daye of septembre1560"
"SRO42l", "1560-09-02", "", "", "ijdeDaye of septembre 1560"
"SRO42m", "1560-09-20", "", "", "xxx or rather xx Daye of Septembre 1560"
"SRO42n", "1560-09-20", "", "", "xx of septembre 1560"
"SRO42o", "1560-09-20", "", "", "xx Daye of septembre 1560"
"SRO42p", "1560-09-20", "", "", "xx Daye of septembre 1560"
"SRO42q", "1560-09-26", "", "", "xxvj Daye of septembre 1560"
"SRO42r", "1560-09", "", "", "xxvjth Daye of septembre 1560"
"SRO42s", "1560-09-26", "", "", "xxvj Daye of septembre 1560"
"SRO42t", "", "1560-09-26", "1561-11-04", "26 September 1560–4 November 1560."
"SRO42u", "", "1560-09-26", "1561-11-04", "26 September 1560–4 November 1560."
"SRO42v", "", "1560-09-26", "1561-11-04", "26 September 1560–4 November 1560."
"SRO42w", "", "1560-09-26", "1561-11-04", "26 September 1560–4 November 1560."
"SRO42x", "", "1560-09-26", "1561-11-04", "26 September 1560–4 November 1560."
"SRO42y", "", "1560-09-26", "1561-11-04", "26 September 1560–4 November 1560."
"SRO42z", "1560-11", "", "", "iiijth Daye of novembre 1560"
"SRO42aa", "", "1560-11-04", "1561-11-30", "4 November 1560–30 November 1560."
"SRO42ab", "1560-11-30", "", "", "xxx of novembre1560"
"SRO42ac", "1560-11-30", "", "", "xxx of novembre1560"
"SRO42ad", "1560-11-30", "", "", "xxx of novembre 1560"
"SRO42ae", "1560-10-30", "", "", "xxx of octobre 1560"
"SRO42af", "1560-10-30", "", "", "xxx of octobre 1560"
"SRO42ag", "1560-10-30", "", "", "xxx of octobre 1560"
"SRO42ah", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO42ai", "1560-10-30", "", "", "xxx of octobre 1560"
"SRO42aj", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO42ak", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO42al", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO42am", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO42an", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO42ao", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO42ap", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO42aq", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO42ar", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO43", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO44", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO45", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO46", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO47", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO48", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO49", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO50", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO51", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO52", "", "1560-10-30", "1561-03-08", "4 October 1560–8 March 1561."
"SRO53", "1561-03-08", "", "", "viij of marche1561"
"SRO53a", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO53ab", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO53ac", "1561-04-14", "", "", "xiiij Daye of aprill 1561"
"SRO53ad", "1561-05-11", "", "", "xj of maye 1561"
"SRO53ae", "1561-05-11", "", "", "xj of maye 1561"
"SRO53af", "1561-05-11", "", "", "xj of maye 1561"
"SRO53ag", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO53ah", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO54", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO54a", "1561-05-11", "", "", "xj of maye 1561"
"SRO54b", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO54c", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO54d", "1561-06-11", "", "", "xj of June 1561"
"SRO54e", "1561-06-24", "", "", "xxiiij Daye of June 1561"
"SRO54f", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO54g", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO54h", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO54i", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO54j", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO54k", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO54l", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO54m", "", "1560-07-07", "1561-07-08", "7 July 1560–8 July 1561."
"SRO55", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO56", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO57", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO58", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO59", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO60", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO61", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO62", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO63", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO64", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO65", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO66", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO67", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO68", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO69", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO70", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO71", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO72", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO73", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO74", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO75", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO76", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO77", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO78", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO79", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO80", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO81", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO82", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO83", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO83a", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO84", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO85", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO86", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO87", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO88", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO89", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO90", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO91", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO92", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO93", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO94", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO95", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO96", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO97", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO98", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO99", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO99a", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO100", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO101", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO102", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO103", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO104", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO105", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO106", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO107", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO108", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO109", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO110", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO111", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO112", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO113", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO114", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO115", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO116", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO117", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO118", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO119", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO120", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO121", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO122", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO123", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO124", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO124a", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO124b", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO124c", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO124d", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO124e", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO124f", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO124g", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO124h", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO125", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO126", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO127", "", "1561-07-22", "1562-07-24", "22 July 1561–24 July 1562."
"SRO128", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO129", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO130", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO131", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO132", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO133", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO134", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO135", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO136", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO137", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO138", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO139", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO140", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO141", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO142", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO143", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO144", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO145", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO145a", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO146", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO147", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO148", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO149", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO150", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO151", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO152", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO153", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO154", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO155", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO156", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO157", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO158", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO159", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
"SRO160", "", "1562-07-22", "1563-07-22", "22 July 1562–22 July 1563."
