"SRO ID", "@when", "Date"
"SRO1", "", "19 July 1557–9 July 1558."
"SRO1a", "", "19 July 1557–9 July 1558."
"SRO2", "", "19 July 1557–9 July 1558."
"SRO2a", "", "19 July 1557–9 July 1558."
"SRO2b", "", "19 July 1557–9 July 1558."
"SRO2c", "", "19 July 1557–9 July 1558."
"SRO2d", "", "19 July 1557–9 July 1558."
"SRO2e", "", "19 July 1557–9 July 1558."
"SRO4", "", "19 July 1557–9 July 1558."
"SRO4a", "", "19 July 1557–9 July 1558."
"SRO4b", "", "19 July 1557–9 July 1558."
"SRO4c", "", "19 July 1557–9 July 1558."
"SRO4d", "", "19 July 1557–9 July 1558."
"SRO4e", "", "19 July 1557–9 July 1558."
"SRO4f", "", "19 July 1557–9 July 1558."
"SRO4g", "", "19 July 1557–9 July 1558."
"SRO4h", "", "19 July 1557–9 July 1558."
"SRO4i", "", "19 July 1557–9 July 1558."
"SRO5", "", "19 July 1557–9 July 1558."
"SRO5a", "", "19 July 1557–9 July 1558."
"SRO5b", "", "19 July 1557–9 July 1558."
"SRO5c", "", "19 July 1557–9 July 1558."
"SRO5d", "", "19 July 1557–9 July 1558."
"SRO5e", "", "19 July 1557–9 July 1558."
"SRO5f", "", "19 July 1557–9 July 1558."
"SRO5g", "", "19 July 1557–9 July 1558."
"SRO5h", "", "19 July 1557–9 July 1558."
"SRO6", "", "19 July 1557–9 July 1558."
"SRO6a", "", "19 July 1557–9 July 1558."
"SRO6b", "", "19 July 1557–9 July 1558."
"SRO6c", "", "19 July 1557–9 July 1558."
"SRO6d", "", "19 July 1557–9 July 1558."
"SRO6e", "", "19 July 1557–9 July 1558."
"SRO6f", "", "19 July 1557–9 July 1558."
"SRO6g", "", "19 July 1557–9 July 1558."
"SRO7", "", "10 July 1558–10 July 1559."
"SRO7a", "", "10 July 1558–10 July 1559."
"SRO8", "", "10 July 1558–10 July 1559."
"SRO9", "", "10 July 1558–10 July 1559."
"SRO10", "", "10 July 1558–10 July 1559."
"SRO11", "", "10 July 1558–10 July 1559."
"SRO12", "", "10 July 1558–10 July 1559."
"SRO13", "", "10 July 1558–10 July 1559."
"SRO14", "", "10 July 1558–10 July 1559."
"SRO15", "", "10 July 1558–10 July 1559."
"SRO16", "", "10 July 1558–10 July 1559."
"SRO17", "", "10 July 1558–10 July 1559."
"SRO18", "", "10 July 1558–10 July 1559."
"SRO19", "", "10 July 1558–10 July 1559."
"SRO20", "", "10 July 1558–10 July 1559."
"SRO21", "", "10 July 1558–10 July 1559."
"SRO22", "", "10 July 1558–10 July 1559."
"SRO23", "", "10 July 1558–10 July 1559."
"SRO24", "", "10 July 1558–10 July 1559."
"SRO25", "", "10 July 1558–10 July 1559."
"SRO26", "", "10 July 1558–10 July 1559."
"SRO27", "", "10 July 1558–10 July 1559."
"SRO28", "", "10 July 1558–10 July 1559."
"SRO29", "", "10 July 1558–10 July 1559."
"SRO30", "", "10 July 1558–10 July 1559."
"SRO31", "", "10 July 1558–10 July 1559."
"SRO32", "", "10 July 1558–10 July 1559."
"SRO33", "", "10 July 1558–10 July 1559."
"SRO34", "", "10 July 1558–10 July 1559."
"SRO35", "", "10 July 1558–10 July 1559."
"SRO36", "", "10 July 1558–10 July 1559."
"SRO36a", "1559-08-06", "vjth of auguste 1559"
"SRO37", "1559-10-12", "xij of octobre 1559"
"SRO38", "1559-11-06", "vj of novembre 1559"
"SRO38a", "1559-11-06", "vjth of novembre 1559"
"SRO38b", "1559-11-06", "vjth of novembre 1559"
"SRO38c", "1559-11-06", "vjth of novembre 1559"
"SRO38d", "1559-11-06", "vjth of novembre 1559"
"SRO38e", "1559-12-04", "iiij of decembre 1559"
"SRO39", "1560-01-15", "xvth of Januarij 1560"
"SRO39a", "", "15 January 1560–24 January 1560."
"SRO39b", "1560-01-24", "xxiiij Daye of Januarij 1560"
"SRO39c", "1560-02-06", "vj of Februarij 1560"
"SRO39d", "1560-01-24", "xxiiij Daye of Januarij 1560"
"SRO40", "1560-02-06", "vj Day of Februarij 1560"
"SRO40a", "1560-03-04", "iiijth Daye of marche 1560"
"SRO40b", "", "03 March 1559–5 May 1560."
"SRO40c", "", "03 March 1559–5 May 1560."
"SRO40d", "", "03 March 1559–5 May 1560."
"SRO40e", "", "03 March 1559–5 May 1560."
"SRO40f", "", "03 March 1559–5 May 1560."
"SRO40g", "", "03 March 1559–14 May 1560."
"SRO41", "1560-05-14", "xiiij Daye of maye 1560"
"SRO41a", "", "15 May 1560–18 May 1560."
"SRO41b", "1560-05-18", "xviijth of maye 1560"
"SRO41c", "1560-05-30", "xxx of maye 1560"
"SRO41d", "1560-06-10", "x of June anno 1560"
"SRO41e", "1560-06-20", "xx of June / 1560"
"SRO42", "1560-06-25", "xxv of June anno 1560"
"SRO42a", "1560", "xxviijth Daye of July anno 1560"
"SRO42b", "", "28 July 1560–14 August 1560."
"SRO42c", "1560-08-14", "xiiij of auguste Anno 1560"
"SRO42d", "1560-08-14", "xiiij of auguste 1560"
"SRO42e", "1560-08-14", "xiiijth of auguste 1560"
"SRO42f", "1560-08-14", "xiiij of auguste 1560"
"SRO42g", "1560-08-19", "xix Daye of auguste 1560"
"SRO42h", "1560-08-30", "xxx daye of auguste 1560"
"SRO42i", "1560-08-30", "xxx Daye of auguste1560"
"SRO42j", "1560-08-31", "Laste Daye of auguste 1560"
"SRO42k", "1560-09-02", "ijde Daye of septembre1560"
"SRO42l", "1560-09-02", "ijdeDaye of septembre 1560"
"SRO42m", "1560-09-20", "xxx or rather xx Daye of Septembre 1560"
"SRO42n", "1560-09-20", "xx of septembre 1560"
"SRO42o", "1560-09-20", "xx Daye of septembre 1560"
"SRO42p", "1560-09-20", "xx Daye of septembre 1560"
"SRO42q", "1560-09-26", "xxvj Daye of septembre 1560"
"SRO42r", "1560-09", "xxvjth Daye of septembre 1560"
"SRO42s", "1560-09-26", "xxvj Daye of septembre 1560"
"SRO42t", "", "26 September 1560–4 November 1560."
"SRO42u", "", "26 September 1560–4 November 1560."
"SRO42v", "", "26 September 1560–4 November 1560."
"SRO42w", "", "26 September 1560–4 November 1560."
"SRO42x", "", "26 September 1560–4 November 1560."
"SRO42y", "", "26 September 1560–4 November 1560."
"SRO42z", "1560-11", "iiijth Daye of novembre 1560"
"SRO42aa", "", "4 November 1560–30 November 1560."
"SRO42ab", "1560-11-30", "xxx of novembre1560"
"SRO42ac", "1560-11-30", "xxx of novembre1560"
"SRO42ad", "1560-11-30", "xxx of novembre 1560"
"SRO42ae", "1560-10-30", "xxx of octobre 1560"
"SRO42af", "1560-10-30", "xxx of octobre 1560"
"SRO42ag", "1560-10-30", "xxx of octobre 1560"
"SRO42ah", "", "4 October 1560–8 March 1561."
"SRO42ai", "1560-10-30", "xxx of octobre 1560"
"SRO42aj", "", "4 October 1560–8 March 1561."
"SRO42ak", "", "4 October 1560–8 March 1561."
"SRO42al", "", "4 October 1560–8 March 1561."
"SRO42am", "", "4 October 1560–8 March 1561."
"SRO42an", "", "4 October 1560–8 March 1561."
"SRO42ao", "", "4 October 1560–8 March 1561."
"SRO42ap", "", "4 October 1560–8 March 1561."
"SRO42aq", "", "4 October 1560–8 March 1561."
"SRO42ar", "", "4 October 1560–8 March 1561."
"SRO43", "", "4 October 1560–8 March 1561."
"SRO44", "", "4 October 1560–8 March 1561."
"SRO45", "", "4 October 1560–8 March 1561."
"SRO46", "", "4 October 1560–8 March 1561."
"SRO47", "", "4 October 1560–8 March 1561."
"SRO48", "", "4 October 1560–8 March 1561."
"SRO49", "", "4 October 1560–8 March 1561."
"SRO50", "", "4 October 1560–8 March 1561."
"SRO51", "", "4 October 1560–8 March 1561."
"SRO52", "", "4 October 1560–8 March 1561."
"SRO53", "1561-03-08", "viij of marche1561"
"SRO53a", "", "7 July 1560–8 July 1561."
"SRO53ab", "", "7 July 1560–8 July 1561."
"SRO53ac", "1561-04-14", "xiiij Daye of aprill 1561"
"SRO53ad", "1561-05-11", "xj of maye 1561"
"SRO53ae", "1561-05-11", "xj of maye 1561"
"SRO53af", "1561-05-11", "xj of maye 1561"
"SRO53ag", "", "7 July 1560–8 July 1561."
"SRO53ah", "", "7 July 1560–8 July 1561."
"SRO54", "", "7 July 1560–8 July 1561."
"SRO54a", "1561-05-11", "xj of maye 1561"
"SRO54b", "", "7 July 1560–8 July 1561."
"SRO54c", "", "7 July 1560–8 July 1561."
"SRO54d", "1561-06-11", "xj of June 1561"
"SRO54e", "1561-06-24", "xxiiij Daye of June 1561"
"SRO54f", "", "7 July 1560–8 July 1561."
"SRO54g", "", "7 July 1560–8 July 1561."
"SRO54h", "", "7 July 1560–8 July 1561."
"SRO54i", "", "7 July 1560–8 July 1561."
"SRO54j", "", "7 July 1560–8 July 1561."
"SRO54k", "", "7 July 1560–8 July 1561."
"SRO54l", "", "7 July 1560–8 July 1561."
"SRO54m", "", "7 July 1560–8 July 1561."
"SRO55", "", "22 July 1561–24 July 1562."
"SRO56", "", "22 July 1561–24 July 1562."
"SRO57", "", "22 July 1561–24 July 1562."
"SRO58", "", "22 July 1561–24 July 1562."
"SRO59", "", "22 July 1561–24 July 1562."
"SRO60", "", "22 July 1561–24 July 1562."
"SRO61", "", "22 July 1561–24 July 1562."
"SRO62", "", "22 July 1561–24 July 1562."
"SRO63", "", "22 July 1561–24 July 1562."
"SRO64", "", "22 July 1561–24 July 1562."
"SRO65", "", "22 July 1561–24 July 1562."
"SRO66", "", "22 July 1561–24 July 1562."
"SRO67", "", "22 July 1561–24 July 1562."
"SRO68", "", "22 July 1561–24 July 1562."
"SRO69", "", "22 July 1561–24 July 1562."
"SRO70", "", "22 July 1561–24 July 1562."
"SRO71", "", "22 July 1561–24 July 1562."
"SRO72", "", "22 July 1561–24 July 1562."
"SRO73", "", "22 July 1561–24 July 1562."
"SRO74", "", "22 July 1561–24 July 1562."
"SRO75", "", "22 July 1561–24 July 1562."
"SRO76", "", "22 July 1561–24 July 1562."
"SRO77", "", "22 July 1561–24 July 1562."
"SRO78", "", "22 July 1561–24 July 1562."
"SRO79", "", "22 July 1561–24 July 1562."
"SRO80", "", "22 July 1561–24 July 1562."
"SRO81", "", "22 July 1561–24 July 1562."
"SRO82", "", "22 July 1561–24 July 1562."
"SRO83", "", "22 July 1561–24 July 1562."
"SRO83a", "", "22 July 1561–24 July 1562."
"SRO84", "", "22 July 1561–24 July 1562."
"SRO85", "", "22 July 1561–24 July 1562."
"SRO86", "", "22 July 1561–24 July 1562."
"SRO87", "", "22 July 1561–24 July 1562."
"SRO88", "", "22 July 1561–24 July 1562."
"SRO89", "", "22 July 1561–24 July 1562."
"SRO90", "", "22 July 1561–24 July 1562."
"SRO91", "", "22 July 1561–24 July 1562."
"SRO92", "", "22 July 1561–24 July 1562."
"SRO93", "", "22 July 1561–24 July 1562."
"SRO94", "", "22 July 1561–24 July 1562."
"SRO95", "", "22 July 1561–24 July 1562."
"SRO96", "", "22 July 1561–24 July 1562."
"SRO97", "", "22 July 1561–24 July 1562."
"SRO98", "", "22 July 1561–24 July 1562."
"SRO99", "", "22 July 1561–24 July 1562."
"SRO99a", "", "22 July 1561–24 July 1562."
"SRO100", "", "22 July 1561–24 July 1562."
"SRO101", "", "22 July 1561–24 July 1562."
"SRO102", "", "22 July 1561–24 July 1562."
"SRO103", "", "22 July 1561–24 July 1562."
"SRO104", "", "22 July 1561–24 July 1562."
"SRO105", "", "22 July 1561–24 July 1562."
"SRO106", "", "22 July 1561–24 July 1562."
"SRO107", "", "22 July 1561–24 July 1562."
"SRO108", "", "22 July 1561–24 July 1562."
"SRO109", "", "22 July 1561–24 July 1562."
"SRO110", "", "22 July 1561–24 July 1562."
"SRO111", "", "22 July 1561–24 July 1562."
"SRO112", "", "22 July 1561–24 July 1562."
"SRO113", "", "22 July 1561–24 July 1562."
"SRO114", "", "22 July 1561–24 July 1562."
"SRO115", "", "22 July 1561–24 July 1562."
"SRO116", "", "22 July 1561–24 July 1562."
"SRO117", "", "22 July 1561–24 July 1562."
"SRO118", "", "22 July 1561–24 July 1562."
"SRO119", "", "22 July 1561–24 July 1562."
"SRO120", "", "22 July 1561–24 July 1562."
"SRO121", "", "22 July 1561–24 July 1562."
"SRO122", "", "22 July 1561–24 July 1562."
"SRO123", "", "22 July 1561–24 July 1562."
"SRO124", "", "22 July 1561–24 July 1562."
"SRO124a", "", "22 July 1561–24 July 1562."
"SRO124b", "", "22 July 1561–24 July 1562."
"SRO124c", "", "22 July 1561–24 July 1562."
"SRO124d", "", "22 July 1561–24 July 1562."
"SRO124e", "", "22 July 1561–24 July 1562."
"SRO124f", "", "22 July 1561–24 July 1562."
"SRO124g", "", "22 July 1561–24 July 1562."
"SRO124h", "", "22 July 1561–24 July 1562."
"SRO125", "", "22 July 1561–24 July 1562."
"SRO126", "", "22 July 1561–24 July 1562."
"SRO127", "", "22 July 1561–24 July 1562."
"SRO128", "", "22 July 1562–22 July 1563."
"SRO129", "", "22 July 1562–22 July 1563."
"SRO130", "", "22 July 1562–22 July 1563."
"SRO131", "", "22 July 1562–22 July 1563."
"SRO132", "", "22 July 1562–22 July 1563."
"SRO133", "", "22 July 1562–22 July 1563."
"SRO134", "", "22 July 1562–22 July 1563."
"SRO135", "", "22 July 1562–22 July 1563."
"SRO136", "", "22 July 1562–22 July 1563."
"SRO137", "", "22 July 1562–22 July 1563."
"SRO138", "", "22 July 1562–22 July 1563."
"SRO139", "", "22 July 1562–22 July 1563."
"SRO140", "", "22 July 1562–22 July 1563."
"SRO141", "", "22 July 1562–22 July 1563."
"SRO142", "", "22 July 1562–22 July 1563."
"SRO143", "", "22 July 1562–22 July 1563."
"SRO144", "", "22 July 1562–22 July 1563."
"SRO145", "", "22 July 1562–22 July 1563."
"SRO145a", "", "22 July 1562–22 July 1563."
"SRO146", "", "22 July 1562–22 July 1563."
"SRO147", "", "22 July 1562–22 July 1563."
"SRO148", "", "22 July 1562–22 July 1563."
"SRO149", "", "22 July 1562–22 July 1563."
"SRO150", "", "22 July 1562–22 July 1563."
"SRO151", "", "22 July 1562–22 July 1563."
"SRO152", "", "22 July 1562–22 July 1563."
"SRO153", "", "22 July 1562–22 July 1563."
"SRO154", "", "22 July 1562–22 July 1563."
"SRO155", "", "22 July 1562–22 July 1563."
"SRO156", "", "22 July 1562–22 July 1563."
"SRO157", "", "22 July 1562–22 July 1563."
"SRO158", "", "22 July 1562–22 July 1563."
"SRO159", "", "22 July 1562–22 July 1563."
"SRO160", "", "22 July 1562–22 July 1563."
"SRO161", "", "22 July 1562–22 July 1563."
"SRO162", "", "22 July 1562–22 July 1563."
"SRO163", "", "22 July 1562–22 July 1563."
"SRO164", "", "22 July 1562–22 July 1563."
"SRO165", "", "22 July 1562–22 July 1563."
"SRO166", "", "22 July 1562–22 July 1563."
"SRO167", "", "22 July 1562–22 July 1563."
"SRO168", "", "22 July 1562–22 July 1563."
"SRO169", "", "22 July 1562–22 July 1563."
"SRO170", "", "22 July 1562–22 July 1563."
"SRO171", "", "22 July 1562–22 July 1563."
"SRO172", "", "22 July 1562–22 July 1563."
"SRO173", "", "22 July 1562–22 July 1563."
"SRO174", "", "22 July 1562–22 July 1563."
"SRO175", "", "22 July 1562–22 July 1563."
"SRO176", "", "22 July 1562–22 July 1563."
"SRO177", "", "22 July 1562–22 July 1563."
"SRO178", "", "22 July 1562–22 July 1563."
"SRO179", "", "22 July 1562–22 July 1563."
"SRO180", "", "22 July 1562–22 July 1563."
"SRO181", "", "22 July 1562–22 July 1563."
"SRO182", "", "22 July 1562–22 July 1563."
"SRO183", "", "22 July 1562–22 July 1563."
"SRO184", "", "22 July 1562–22 July 1563."
"SRO185", "", "22 July 1562–22 July 1563."
"SRO186", "", "22 July 1562–22 July 1563."
"SRO187", "", "22 July 1562–22 July 1563."
"SRO188", "", "22 July 1562–22 July 1563."
"SRO189", "", "22 July 1562–22 July 1563."
"SRO190", "", "22 July 1562–22 July 1563."
"SRO191", "", "22 July 1562–22 July 1563."
"SRO192", "", "22 July 1562–22 July 1563."
"SRO193", "", "22 July 1562–22 July 1563."
"SRO194", "", "22 July 1562–22 July 1563."
"SRO195", "", "22 July 1562–22 July 1563."
"SRO196", "", "22 July 1562–22 July 1563."
"SRO197", "", "22 July 1562–22 July 1563."
"SRO198", "", "22 July 1562–22 July 1563."
"SRO199", "", "22 July 1562–22 July 1563."
"SRO200", "", "22 July 1562–22 July 1563."
"SRO201", "", "22 July 1562–22 July 1563."
"SRO202", "", "22 July 1562–22 July 1563."
"SRO203", "", "22 July 1562–22 July 1563."
"SRO204", "", "22 July 1562–22 July 1563."
"SRO205", "", "22 July 1562–22 July 1563."
"SRO206", "", "22 July 1562–22 July 1563."
"SRO207", "", "22 July 1562–22 July 1563."
"SRO208", "", "22 July 1562–22 July 1563."
"SRO209", "", "22 July 1562–22 July 1563."
"SRO210", "", "22 July 1562–22 July 1563."
"SRO211", "", "22 July 1562–22 July 1563."
"SRO212", "", "22 July 1562–22 July 1563."
"SRO213", "", "22 July 1562–22 July 1563."
"SRO214", "", "22 July 1562–22 July 1563."
"SRO215", "", "22 July 1562–22 July 1563."
"SRO216", "", "22 July 1562–22 July 1563."
"SRO217", "", "22 July 1562–22 July 1563."
"SRO218", "", "22 July 1562–22 July 1563."
"SRO219", "", "22 July 1562–22 July 1563."
"SRO220", "", "22 July 1562–22 July 1563."
"SRO221", "", "22 July 1562–22 July 1563."
"SRO222", "", "22 July 1562–22 July 1563."
"SRO223", "", "22 July 1562–22 July 1563."
"SRO224", "", "22 July 1562–22 July 1563."
"SRO225", "", "22 July 1562–22 July 1563."
"SRO226", "", "22 July 1562–22 July 1563."
"SRO227", "", "22 July 1562–22 July 1563."
"SRO228", "", "22 July 1562–22 July 1563."
"SRO229", "", "22 July 1562–22 July 1563."
"SRO230", "", "22 July 1562–22 July 1563."
"SRO231", "", "22 July 1562–22 July 1563."
"SRO232", "", "22 July 1562–22 July 1563."
"SRO234", "", "22 July 1562–22 July 1563."
"SRO235", "", "22 July 1562–22 July 1563."
"SRO236", "", "22 July 1562–22 July 1563."
"SRO237", "", "22 July 1562–22 July 1563."
"SRO238", "", "22 July 1562–22 July 1563."
"SRO239", "", "22 July 1562–22 July 1563."
"SRO240", "", "22 July 1562–22 July 1563."
"SRO241", "", "22 July 1562–22 July 1563."
"SRO242", "", "22 July 1562–22 July 1563."
"SRO243", "", "22 July 1562–22 July 1563."
"SRO244", "", "22 July 1562–22 July 1563."
"SRO245", "", "22 July 1562–22 July 1563."
"SRO246", "", "22 July 1562–22 July 1563."
"SRO247", "", "22 July 1562–22 July 1563."
"SRO248", "", "22 July 1562–22 July 1563."
"SRO249", "", "22 July 1562–22 July 1563."
"SRO250", "", "22 July 1562–22 July 1563."
"SRO251", "", "22 July 1562–22 July 1563."
"SRO252", "", "22 July 1563–22 July 1564."
"SRO253", "", "22 July 1563–22 July 1564."
"SRO254", "", "22 July 1563–22 July 1564."
"SRO255", "", "22 July 1563–22 July 1564."
"SRO256", "", "22 July 1563–22 July 1564."
"SRO257", "", "22 July 1563–22 July 1564."
"SRO258", "", "22 July 1563–22 July 1564."
"SRO259", "", "22 July 1563–22 July 1564."
"SRO260", "", "22 July 1563–22 July 1564."
"SRO261", "", "22 July 1563–22 July 1564."
"SRO262", "", "22 July 1563–22 July 1564."
"SRO263", "", "22 July 1563–22 July 1564."
"SRO264", "", "22 July 1563–22 July 1564."
"SRO265", "", "22 July 1563–22 July 1564."
"SRO266", "", "22 July 1563–22 July 1564."
"SRO267", "", "22 July 1563–22 July 1564."
"SRO268", "", "22 July 1563–22 July 1564."
"SRO269", "", "22 July 1563–22 July 1564."
"SRO270", "", "22 July 1563–22 July 1564."
"SRO271", "", "22 July 1563–22 July 1564."
"SRO272", "", "22 July 1563–22 July 1564."
"SRO273", "", "22 July 1563–22 July 1564."
"SRO274", "", "22 July 1563–22 July 1564."
"SRO275", "", "22 July 1563–22 July 1564."
"SRO276", "", "22 July 1563–22 July 1564."
"SRO277", "", "22 July 1563–22 July 1564."
"SRO278", "", "22 July 1563–22 July 1564."
"SRO279", "", "22 July 1563–22 July 1564."
"SRO280", "", "22 July 1563–22 July 1564."
"SRO281", "", "22 July 1563–22 July 1564."
"SRO282", "", "22 July 1563–22 July 1564."
"SRO283", "", "22 July 1563–22 July 1564."
"SRO284", "", "22 July 1563–22 July 1564."
"SRO285", "", "22 July 1563–22 July 1564."
"SRO286", "", "22 July 1563–22 July 1564."
"SRO287", "", "22 July 1563–22 July 1564."
"SRO288", "", "22 July 1563–22 July 1564."
"SRO289", "", "22 July 1563–22 July 1564."
"SRO290", "", "22 July 1563–22 July 1564."
"SRO291", "", "22 July 1563–22 July 1564."
"SRO292", "", "22 July 1563–22 July 1564."
"SRO293", "", "22 July 1563–22 July 1564."
"SRO294", "", "22 July 1563–22 July 1564."
"SRO295", "", "22 July 1563–22 July 1564."
"SRO296", "", "22 July 1563–22 July 1564."
"SRO297", "", "22 July 1563–22 July 1564."
"SRO298", "", "22 July 1563–22 July 1564."
"SRO299", "", "22 July 1563–22 July 1564."
"SRO300", "", "22 July 1563–22 July 1564."
"SRO301", "", "22 July 1563–22 July 1564."
"SRO302", "", "22 July 1563–22 July 1564."
"SRO303", "", "22 July 1563–22 July 1564."
"SRO304", "", "22 July 1563–22 July 1564."
"SRO305", "", "22 July 1563–22 July 1564."
"SRO306", "", "22 July 1563–22 July 1564."
"SRO307", "", "22 July 1563–22 July 1564."
"SRO308", "", "22 July 1563–22 July 1564."
"SRO309", "", "22 July 1563–22 July 1564."
"SRO310", "", "22 July 1563–22 July 1564."
"SRO311", "", "22 July 1563–22 July 1564."
"SRO312", "", "22 July 1563–22 July 1564."
"SRO313", "", "22 July 1564–04 September 1564."
"SRO314", "", "22 July 1564–04 September 1564."
"SRO315", "", "22 July 1564–04 September 1564."
"SRO316", "", "22 July 1564–04 September 1564."
"SRO317", "", "22 July 1564–04 September 1564."
"SRO318", "", "22 July 1564–04 September 1564."
"SRO319", "", "22 July 1564–04 September 1564."
"SRO320", "", "22 July 1564–04 September 1564."
"SRO321", "", "22 July 1564–04 September 1564."
"SRO322", "", "22 July 1564–04 September 1564."
"SRO323", "", "22 July 1564–04 September 1564."
"SRO324", "", "22 July 1564–04 September 1564."
"SRO325", "", "22 July 1564–04 September 1564."
"SRO326", "", "22 July 1564–04 September 1564."
"SRO327", "", "22 July 1564–04 September 1564."
"SRO328", "", "22 July 1564–04 September 1564."
"SRO329", "", "22 July 1564–04 September 1564."
"SRO330", "", "22 July 1564–04 September 1564."
"SRO331", "", "22 July 1564–04 September 1564."
"SRO331a", "1564-09-04", "The iiijth Daye of septembre 1564"
"SRO332", "", "04 September 1564–27 October 1564."
"SRO333", "", "04 September 1564–27 October 1564."
